maintenance_id,equipment_id,date,failure_type,downtime_hours,cost
52,28,2024-12-05,Panne mécanique,31.6,2064.55
53,9,2023-01-06,Corrosion,10.3,14564.01
54,3,2023-04-20,Panne mécanique,22.1,1343.29
55,20,2024-03-11,Panne électrique,24.3,6853.53
56,24,2023-08-13,Corrosion,36.6,8283.88
57,3,2023-06-30,Usure,32.4,11961.99
58,23,2024-12-13,Usure,25.2,2256.36
59,14,2024-06-14,Fuite,33.0,6891.72
60,16,2024-04-20,Panne mécanique,2.1,4845.82
61,7,2023-02-21,Corrosion,37.5,5024.16
62,23,2024-07-24,Fuite,10.9,11792.42
63,36,2023-09-13,Panne mécanique,31.9,579.18
64,27,2023-05-05,Panne électrique,6.4,11361.71
65,40,2024-04-12,Corrosion,6.4,12250.78
66,10,2023-05-17,Panne mécanique,2.7,13569.75
67,16,2024-04-20,Corrosion,43.8,9589.79
68,11,2024-11-14,Panne mécanique,29.4,5335.1
69,12,2024-06-27,Panne électrique,18.0,6694.9
70,27,2024-07-26,Corrosion,38.0,14561.17
71,2,2024-09-01,Usure,30.4,13277.21
72,12,2023-11-21,Panne électrique,30.1,7221.13
73,22,2024-03-29,Panne mécanique,23.9,14174.41
74,27,2024-09-19,Corrosion,1.4,12432.85
75,16,2024-05-31,Panne électrique,13.1,13565.8
76,18,2024-03-12,Panne mécanique,6.1,10403.17
77,11,2024-07-15,Usure,32.1,12935.98
78,7,2024-04-01,Usure,12.7,13430.61
79,25,2023-06-12,Panne mécanique,22.2,1834.24
80,3,2024-05-01,Usure,17.6,14495.65
81,31,2024-04-05,Panne électrique,7.7,5337.39
82,15,2023-09-23,Usure,46.0,6878.54
83,13,2023-09-11,Fuite,44.9,11982.6
84,30,2024-10-14,Usure,5.0,10141.0
85,23,2023-10-11,Fuite,39.9,13449.37
86,20,2024-06-17,Corrosion,24.0,6308.32
87,15,2024-05-11,Panne électrique,37.4,5912.68
88,15,2024-10-03,Corrosion,8.1,959.49
89,2,2023-09-02,Corrosion,7.2,7209.52
90,13,2023-10-09,Usure,42.9,10999.03
91,26,2024-03-26,Usure,43.2,4867.09
92,22,2023-03-21,Usure,22.9,7209.53
93,18,2023-10-20,Corrosion,41.9,3681.27
94,5,2023-08-29,Panne électrique,32.4,11705.42
95,18,2023-10-06,Panne électrique,9.7,1377.42
96,23,2023-12-10,Fuite,16.5,10728.05
97,33,2023-11-24,Panne mécanique,7.4,5994.63
98,26,2024-07-07,Panne électrique,37.4,1103.14
99,35,2023-03-24,Usure,47.3,12875.31
100,22,2023-05-22,Fuite,26.7,7571.97
101,2,2023-06-04,Usure,31.8,9190.13
102,8,2023-08-25,Corrosion,36.1,11114.45
103,17,2024-01-28,Corrosion,11.5,9998.58
104,12,2024-12-11,Usure,16.8,11097.42
105,38,2023-06-06,Panne électrique,20.4,11553.08
106,17,2024-12-24,Panne mécanique,28.9,9042.7
107,3,2023-08-08,Usure,41.0,5801.75
108,7,2023-03-07,Panne électrique,12.9,4025.56
109,39,2024-02-29,Fuite,23.1,13592.1
110,28,2024-02-22,Usure,36.3,14563.91
111,23,2023-12-05,Fuite,5.1,5686.11
112,21,2024-07-09,Panne électrique,25.1,2128.51
113,28,2024-04-22,Panne électrique,7.8,3726.79
114,39,2024-03-01,Panne électrique,26.3,10224.68
115,33,2023-03-05,Panne électrique,37.1,3007.53
116,8,2023-07-31,Corrosion,12.1,11811.77
117,25,2024-03-06,Panne électrique,40.9,13883.94
118,37,2024-02-03,Corrosion,16.7,14472.95
119,13,2024-08-21,Panne mécanique,10.0,635.22
120,17,2024-12-13,Corrosion,22.9,14393.24
121,3,2023-01-21,Fuite,42.2,11232.82
122,28,2024-08-12,Panne mécanique,4.2,1718.73
123,1,2024-01-25,Fuite,16.4,6520.99
124,34,2024-05-03,Usure,31.7,10650.66
125,35,2023-01-07,Usure,17.8,14371.94
126,13,2023-12-27,Corrosion,4.3,2880.05
127,24,2023-11-02,Fuite,16.6,2352.13
128,28,2024-02-04,Usure,39.6,7349.03
129,5,2024-03-05,Usure,46.5,14537.43
130,22,2024-07-05,Usure,2.9,14585.0
131,40,2024-07-13,Panne mécanique,27.8,3804.76
132,21,2024-09-09,Panne mécanique,5.9,5130.53
133,8,2023-08-14,Panne électrique,33.0,13666.46
134,20,2024-05-14,Fuite,1.4,11155.2
135,33,2023-08-13,Usure,1.7,14598.59
136,20,2023-10-07,Fuite,37.5,13450.65
137,27,2024-03-22,Panne électrique,4.5,3618.89
138,21,2024-05-12,Corrosion,15.3,11516.04
139,26,2023-01-30,Panne électrique,46.0,1204.2
140,19,2024-02-03,Usure,47.3,12358.58
141,36,2023-12-11,Corrosion,8.6,9222.57
142,9,2024-11-15,Corrosion,27.4,14363.46
143,13,2024-11-26,Panne électrique,27.3,14420.47
144,27,2024-02-19,Usure,22.3,1236.82
145,25,2023-06-19,Corrosion,44.5,2827.56
146,12,2024-04-23,Panne électrique,36.4,7521.0
147,40,2023-05-11,Panne électrique,36.9,13252.66
148,37,2024-09-29,Usure,13.7,12309.45
149,20,2024-06-30,Panne électrique,21.4,14483.37
150,26,2023-01-28,Panne électrique,23.9,9462.22
