sale_id,date,field_id,product_type,quantity_barrels,price_per_barrel,revenue
104,2023-02-03,1,Gaz naturel,4568,93.23,425874.64
105,2023-08-26,4,Brut,589,89.63,52792.07
106,2023-10-23,4,Brut,1090,60.42,65857.8
107,2024-12-24,3,Gaz naturel,591,60.98,36039.18
108,2023-10-17,5,Gaz naturel,4157,60.36,250916.52
109,2024-12-20,5,Brut,2603,72.83,189576.49
110,2024-04-09,1,Gaz naturel,4315,94.31,406947.65
111,2023-03-14,4,Brut,2465,91.39,225276.35
112,2024-12-04,5,Gaz naturel,4656,68.77,320193.12
113,2023-08-28,2,Condensats,2664,74.36,198095.04
114,2023-09-28,5,Gaz naturel,1089,88.85,96757.65
115,2024-10-02,1,Brut,4831,86.55,418123.05
116,2024-08-26,6,Gaz naturel,2580,64.64,166771.2
117,2024-11-08,6,Brut,4138,63.77,263880.26
118,2023-07-22,5,Gaz naturel,3814,79.03,301420.42
119,2024-03-11,3,Brut,1285,63.57,81687.45
120,2023-04-28,4,Brut,4616,88.88,410270.08
121,2024-07-11,6,Gaz naturel,2388,68.87,164461.56
122,2023-08-19,1,Brut,4545,66.59,302651.55
123,2024-10-25,1,Condensats,4284,66.5,284886.0
124,2023-06-02,4,Condensats,1677,61.58,103269.66
125,2023-09-30,4,Gaz naturel,1777,82.46,146531.42
126,2023-05-26,4,Brut,3465,65.76,227858.4
127,2023-03-15,6,Brut,801,68.17,54604.17
128,2023-03-03,1,Brut,2844,86.3,245437.2
129,2023-06-19,4,Gaz naturel,3715,62.01,230367.15
130,2023-11-11,6,Gaz naturel,3815,67.1,255986.5
131,2024-09-01,4,Condensats,561,65.23,36594.03
132,2024-08-05,1,Brut,1357,60.17,81650.69
133,2023-10-23,1,Condensats,1037,78.88,81798.56
134,2024-03-25,3,Gaz naturel,1840,66.65,122636.0
135,2023-05-08,5,Gaz naturel,1317,82.15,108191.55
136,2024-04-24,2,Condensats,3607,77.56,279758.92
137,2024-12-06,1,Brut,1474,83.38,122902.12
138,2023-11-08,2,Brut,4152,94.35,391741.2
139,2024-12-17,3,Brut,3803,67.7,257463.1
140,2024-02-17,5,Gaz naturel,2211,83.31,184198.41
141,2023-10-06,6,Brut,1289,89.18,114953.02
142,2024-05-27,5,Brut,2580,93.51,241255.8
143,2024-07-06,5,Condensats,1080,81.78,88322.4
144,2024-05-20,6,Condensats,2541,64.58,164097.78
145,2024-03-24,3,Condensats,851,61.88,52659.88
146,2023-03-24,4,Condensats,2802,69.75,195439.5
147,2024-09-04,5,Gaz naturel,1573,92.49,145486.77
148,2023-02-10,5,Brut,2531,78.79,199417.49
149,2024-03-18,3,Gaz naturel,4868,80.28,390803.04
150,2023-11-27,4,Brut,2382,81.37,193823.34
151,2024-09-10,5,Gaz naturel,4845,71.63,347047.35
152,2023-09-14,5,Brut,1760,66.36,116793.6
153,2023-01-27,4,Brut,731,93.4,68275.4
154,2023-04-04,1,Brut,1456,86.44,125856.64
155,2023-08-23,6,Gaz naturel,4837,77.89,376753.93
156,2024-11-21,1,Condensats,2681,73.18,196195.58
157,2024-08-12,6,Condensats,1594,76.9,122578.6
158,2024-08-24,6,Gaz naturel,4429,61.18,270966.22
159,2023-01-22,5,Brut,4036,68.66,277111.76
160,2024-11-19,6,Brut,3992,68.77,274529.84
161,2023-10-03,2,Gaz naturel,3881,75.59,293364.79
162,2024-08-13,4,Condensats,1802,68.27,123022.54
163,2023-02-11,4,Condensats,4814,66.49,320082.86
164,2023-06-29,2,Brut,1196,86.79,103800.84
165,2024-04-26,4,Condensats,806,91.27,73563.62
166,2024-06-15,3,Condensats,2523,62.35,157309.05
167,2024-10-29,4,Condensats,813,67.34,54747.42
168,2024-03-28,4,Brut,3974,87.08,346055.92
169,2023-10-12,4,Condensats,1902,88.55,168422.1
170,2023-07-05,6,Brut,4876,77.51,377938.76
171,2024-08-22,1,Gaz naturel,3898,84.32,328679.36
172,2024-03-22,3,Gaz naturel,534,62.72,33492.48
173,2024-10-12,4,Brut,2617,89.73,234823.41
174,2024-05-18,3,Condensats,859,89.15,76579.85
175,2023-04-04,6,Gaz naturel,907,84.27,76432.89
176,2024-04-26,3,Brut,3609,92.07,332280.63
177,2023-12-23,3,Condensats,4433,61.67,273383.11
178,2024-02-23,2,Gaz naturel,2592,68.08,176463.36
179,2023-12-08,6,Brut,636,72.69,46230.84
180,2023-11-25,4,Condensats,3370,65.55,220903.5
181,2024-11-17,1,Condensats,1478,88.52,130832.56
182,2023-04-18,1,Brut,1984,86.5,171616.0
183,2023-06-14,1,Condensats,2914,87.06,253692.84
184,2023-12-04,1,Gaz naturel,3876,70.2,272095.2
185,2024-02-26,4,Brut,966,86.69,83742.54
186,2024-12-11,1,Condensats,1474,64.31,94792.94
187,2024-05-22,6,Condensats,2422,63.74,154378.28
188,2023-10-23,6,Condensats,3097,80.44,249122.68
189,2024-11-09,3,Condensats,3151,61.7,194416.7
190,2024-02-15,2,Condensats,2299,92.85,213462.15
191,2024-07-17,5,Brut,1515,71.51,108337.65
192,2023-02-07,1,Gaz naturel,2248,76.7,172421.6
193,2024-04-10,5,Gaz naturel,3817,88.46,337651.82
194,2023-04-01,5,Brut,1184,74.0,87616.0
195,2023-11-19,5,Condensats,3650,75.07,274005.5
196,2023-09-16,3,Gaz naturel,1956,72.18,141184.08
197,2023-11-28,6,Gaz naturel,868,72.31,62765.08
198,2023-04-29,1,Gaz naturel,4946,76.38,377775.48
199,2024-02-18,4,Condensats,1844,93.11,171694.84
200,2024-06-10,3,Brut,4617,92.76,428272.92
201,2023-01-02,6,Gaz naturel,678,79.08,53616.24
202,2024-11-04,4,Brut,3255,75.96,247249.8
203,2024-07-09,6,Gaz naturel,1632,88.29,144089.28
204,2024-04-18,1,Brut,1979,83.83,165899.57
205,2024-02-28,3,Condensats,3566,90.85,323971.1
206,2023-02-25,5,Condensats,4528,85.57,387460.96
207,2023-07-12,3,Condensats,2911,93.33,271683.63
208,2024-06-14,3,Brut,2420,91.02,220268.4
209,2024-01-06,1,Condensats,2972,89.93,267271.96
210,2024-09-29,5,Condensats,1458,73.7,107454.6
211,2024-05-25,5,Gaz naturel,3787,73.52,278420.24
212,2024-10-02,2,Brut,1571,85.94,135011.74
213,2024-03-28,2,Brut,1988,62.93,125104.84
214,2023-02-22,6,Gaz naturel,2433,71.28,173424.24
215,2023-07-28,4,Condensats,2516,92.63,233057.08
216,2023-10-01,2,Gaz naturel,4437,75.75,336102.75
217,2024-07-16,1,Condensats,3535,69.45,245505.75
218,2023-05-15,3,Brut,3761,76.68,288393.48
219,2023-10-22,5,Condensats,2699,70.1,189199.9
220,2024-03-24,3,Gaz naturel,1899,86.89,165004.11
221,2024-12-16,1,Condensats,2802,89.77,251535.54
222,2024-05-11,3,Gaz naturel,4782,87.39,417898.98
223,2023-05-05,5,Condensats,1378,65.22,89873.16
224,2023-01-30,2,Brut,4713,71.76,338204.88
225,2024-10-07,4,Brut,4194,67.49,283053.06
226,2024-09-15,5,Brut,1370,61.5,84255.0
227,2023-09-03,5,Condensats,1205,85.87,103473.35
228,2024-12-27,5,Gaz naturel,3189,74.99,239143.11
229,2023-06-12,6,Brut,2759,69.68,192247.12
230,2023-11-15,6,Gaz naturel,4367,70.76,309008.92
231,2024-07-18,5,Brut,2077,64.73,134444.21
232,2023-01-15,1,Brut,2467,88.94,219414.98
233,2024-07-19,5,Brut,1752,65.04,113950.08
234,2024-02-22,6,Brut,1752,71.84,125863.68
235,2023-04-06,6,Gaz naturel,3549,60.26,213862.74
236,2023-08-19,3,Gaz naturel,4938,75.27,371683.26
237,2023-04-27,1,Condensats,3628,72.42,262739.76
238,2024-04-17,2,Gaz naturel,2166,85.17,184478.22
239,2023-05-01,3,Condensats,4889,85.04,415760.56
240,2024-10-25,6,Gaz naturel,527,61.35,32331.45
241,2023-06-07,3,Gaz naturel,4109,64.06,263222.54
242,2024-05-25,3,Brut,2119,91.66,194227.54
243,2023-10-26,3,Condensats,3406,87.71,298740.26
244,2024-06-05,1,Brut,1844,73.63,135773.72
245,2024-12-23,2,Gaz naturel,4413,65.82,290463.66
246,2023-10-07,2,Gaz naturel,4285,69.13,296222.05
247,2024-03-01,5,Brut,4268,83.03,354372.04
248,2024-05-09,6,Condensats,4329,93.09,402986.61
249,2024-04-28,4,Gaz naturel,1427,81.55,116371.85
250,2023-09-07,1,Gaz naturel,2278,60.93,138798.54
251,2024-04-12,2,Brut,3603,82.78,298256.34
252,2024-07-18,6,Gaz naturel,2944,93.07,273998.08
253,2023-05-29,6,Gaz naturel,3588,72.55,260309.4
254,2024-01-28,1,Gaz naturel,4965,92.67,460106.55
255,2023-07-15,1,Condensats,663,83.47,55340.61
256,2024-09-05,6,Gaz naturel,4499,66.64,299813.36
257,2024-06-04,5,Gaz naturel,3257,65.09,211998.13
258,2023-05-20,2,Gaz naturel,4073,66.17,269510.41
259,2023-03-13,4,Brut,850,84.47,71799.5
260,2023-10-10,4,Gaz naturel,700,80.63,56441.0
261,2024-02-29,4,Condensats,3052,75.94,231768.88
262,2023-12-15,3,Gaz naturel,4428,69.22,306506.16
263,2024-06-03,2,Gaz naturel,1551,91.75,142304.25
264,2023-10-01,3,Condensats,4932,67.48,332811.36
265,2023-01-03,3,Gaz naturel,786,69.93,54964.98
266,2023-10-17,6,Brut,3178,61.92,196781.76
267,2023-11-02,3,Condensats,2295,69.64,159823.8
268,2024-08-24,5,Gaz naturel,4058,92.3,374553.4
269,2024-08-16,5,Brut,606,66.57,40341.42
270,2024-11-06,1,Gaz naturel,3053,67.14,204978.42
271,2024-05-16,1,Condensats,4013,81.0,325053.0
272,2023-06-02,2,Brut,616,79.84,49181.44
273,2024-04-02,2,Condensats,1768,66.16,116970.88
274,2024-07-05,5,Gaz naturel,1240,65.4,81096.0
275,2024-05-10,1,Gaz naturel,522,64.09,33454.98
276,2023-12-20,6,Brut,860,90.14,77520.4
277,2023-12-07,1,Brut,4593,82.91,380805.63
278,2024-07-19,3,Gaz naturel,1950,93.37,182071.5
279,2024-07-10,4,Condensats,716,65.8,47112.8
280,2024-01-22,6,Gaz naturel,3254,76.12,247694.48
281,2024-04-11,4,Gaz naturel,1127,86.01,96933.27
282,2023-11-26,4,Gaz naturel,3767,67.47,254159.49
283,2023-07-13,5,Condensats,1066,83.96,89501.36
284,2024-12-15,4,Condensats,4258,76.58,326077.64
285,2023-09-02,4,Gaz naturel,2990,75.08,224489.2
286,2024-08-08,3,Brut,2520,82.57,208076.4
287,2024-01-28,2,Condensats,4030,76.37,307771.1
288,2023-08-28,5,Gaz naturel,3006,88.7,266632.2
289,2024-02-25,1,Gaz naturel,4055,92.57,375371.35
290,2023-02-14,3,Gaz naturel,2691,80.61,216921.51
291,2023-11-22,4,Brut,4909,70.52,346182.68
292,2024-04-29,1,Condensats,3422,87.2,298398.4
293,2024-12-23,3,Gaz naturel,1228,65.97,81011.16
294,2024-01-26,6,Condensats,3828,63.32,242388.96
295,2024-01-31,6,Gaz naturel,973,78.16,76049.68
296,2024-11-10,5,Gaz naturel,1105,82.64,91317.2
297,2024-10-29,4,Condensats,4070,89.22,363125.4
298,2023-06-05,5,Brut,1742,93.43,162755.06
299,2024-05-22,6,Brut,4102,90.57,371518.14
300,2023-02-07,3,Condensats,4254,94.6,402428.4
301,2023-05-10,1,Condensats,4870,76.65,373285.5
302,2024-05-29,2,Gaz naturel,4378,71.08,311188.24
303,2024-08-27,4,Gaz naturel,2399,76.09,182539.91
304,2023-12-06,5,Condensats,4243,82.54,350217.22
305,2023-04-13,1,Condensats,2764,77.75,214901.0
306,2024-03-26,1,Condensats,3645,82.19,299582.55
307,2023-04-13,2,Brut,1175,91.04,106972.0
308,2024-06-22,3,Brut,4553,65.8,299587.4
309,2024-04-12,2,Brut,1209,64.21,77629.89
310,2023-01-16,2,Condensats,1422,77.45,110133.9
311,2023-05-28,3,Condensats,3899,94.36,367909.64
312,2024-02-24,3,Gaz naturel,907,62.07,56297.49
313,2024-11-01,3,Brut,4743,94.53,448355.79
314,2023-06-08,1,Brut,1609,93.87,151036.83
315,2023-03-18,1,Brut,4092,70.24,287422.08
316,2024-04-25,4,Brut,2288,91.19,208642.72
317,2023-09-29,6,Condensats,4459,60.27,268743.93
318,2023-12-13,4,Gaz naturel,1990,75.89,151021.1
319,2024-09-30,2,Gaz naturel,4084,74.07,302501.88
320,2024-12-10,2,Gaz naturel,4350,91.59,398416.5
321,2024-02-12,4,Condensats,4700,76.53,359691.0
322,2024-10-27,5,Brut,1981,74.63,147842.03
323,2023-03-24,6,Condensats,1780,82.39,146654.2
324,2023-12-03,2,Brut,4442,73.15,324932.3
325,2024-11-21,5,Condensats,1374,78.78,108243.72
326,2024-06-30,5,Gaz naturel,611,93.44,57091.84
327,2024-01-25,6,Gaz naturel,701,67.09,47030.09
328,2023-11-21,3,Gaz naturel,3153,76.06,239817.18
329,2024-10-03,1,Gaz naturel,1494,60.54,90446.76
330,2024-05-14,4,Brut,4620,89.48,413397.6
331,2024-07-08,6,Condensats,2031,63.22,128399.82
332,2023-02-06,1,Brut,1889,63.32,119611.48
333,2024-09-24,4,Condensats,1030,90.9,93627.0
334,2023-03-12,1,Gaz naturel,2117,74.33,157356.61
335,2023-08-29,4,Gaz naturel,4641,84.06,390122.46
336,2024-10-08,1,Gaz naturel,864,90.02,77777.28
337,2024-12-01,3,Condensats,3871,73.11,283008.81
338,2023-10-22,5,Gaz naturel,3324,69.15,229854.6
339,2023-08-21,4,Brut,1872,65.93,123420.96
340,2023-04-03,5,Brut,3357,81.25,272756.25
341,2024-03-20,4,Brut,2737,68.83,188387.71
342,2023-04-11,6,Condensats,3974,82.2,326662.8
343,2024-10-10,6,Brut,4944,71.1,351518.4
344,2024-12-21,4,Gaz naturel,4968,72.17,358540.56
345,2023-04-13,3,Condensats,4076,68.72,280102.72
346,2024-03-30,1,Gaz naturel,3862,74.65,288298.3
347,2023-06-20,4,Condensats,4543,65.67,298338.81
348,2024-12-11,1,Brut,4475,71.19,318575.25
349,2023-11-03,3,Gaz naturel,1484,87.23,129449.32
350,2023-01-30,2,Gaz naturel,2658,67.55,179547.9
351,2023-02-17,5,Condensats,2026,93.15,188721.9
352,2023-11-29,4,Gaz naturel,3872,77.25,299112.0
353,2023-02-27,6,Brut,1536,63.74,97904.64
354,2023-10-28,3,Condensats,3673,93.01,341625.73
355,2024-01-03,1,Gaz naturel,2489,75.98,189114.22
356,2024-01-19,4,Condensats,2744,79.49,218120.56
357,2024-03-17,1,Gaz naturel,2602,66.48,172980.96
358,2023-05-30,2,Brut,2730,71.67,195659.1
359,2023-09-08,4,Brut,1542,84.63,130499.46
360,2024-06-27,5,Brut,4958,64.34,318997.72
361,2024-02-26,4,Brut,3020,79.97,241509.4
362,2024-08-02,5,Gaz naturel,4604,84.27,387979.08
363,2024-11-29,1,Brut,3207,60.06,192612.42
364,2023-07-04,4,Condensats,1829,89.32,163366.28
365,2023-06-24,3,Gaz naturel,4155,61.97,257485.35
366,2023-06-29,6,Brut,4405,68.64,302359.2
367,2023-03-22,3,Condensats,1580,93.72,148077.6
368,2024-09-16,2,Gaz naturel,4105,62.84,257958.2
369,2024-01-27,3,Condensats,1323,88.91,117627.93
370,2024-09-26,2,Gaz naturel,4119,82.82,341135.58
371,2024-11-30,1,Condensats,3750,80.94,303525.0
372,2023-09-04,5,Brut,2615,80.36,210141.4
373,2024-05-24,6,Condensats,4067,65.83,267730.61
374,2024-08-20,1,Condensats,547,83.41,45625.27
375,2023-05-27,5,Gaz naturel,1940,93.31,181021.4
376,2023-08-26,5,Gaz naturel,4235,62.7,265534.5
377,2024-04-17,2,Brut,1444,71.63,103433.72
378,2024-10-15,3,Condensats,3768,76.53,288365.04
379,2023-09-18,3,Condensats,4141,68.13,282126.33
380,2024-04-15,6,Condensats,3619,85.93,310980.67
381,2023-09-19,6,Condensats,2483,84.1,208820.3
382,2024-11-13,2,Brut,854,64.12,54758.48
383,2023-01-10,2,Gaz naturel,3805,79.93,304133.65
384,2024-04-21,1,Condensats,2417,72.91,176223.47
385,2023-10-22,2,Brut,4685,67.99,318533.15
386,2024-11-24,3,Brut,868,89.69,77850.92
387,2024-07-13,2,Brut,3486,61.91,215818.26
388,2023-06-11,2,Brut,1692,76.36,129201.12
389,2023-03-17,5,Brut,1886,76.64,144543.04
390,2024-03-28,2,Gaz naturel,4493,79.95,359215.35
391,2023-12-20,6,Brut,3502,66.92,234353.84
392,2024-08-24,1,Gaz naturel,2396,90.49,216814.04
393,2023-11-03,2,Condensats,3047,93.79,285778.13
394,2024-10-16,6,Condensats,2053,79.21,162618.13
395,2024-03-10,4,Gaz naturel,3310,68.96,228257.6
396,2024-12-07,4,Gaz naturel,3532,90.69,320317.08
397,2023-09-14,5,Condensats,611,94.59,57794.49
398,2024-04-12,5,Brut,4572,85.97,393054.84
399,2023-11-06,4,Condensats,1563,71.68,112035.84
400,2023-07-23,6,Brut,4697,68.26,320617.22
401,2024-01-29,5,Brut,1892,65.48,123888.16
402,2024-05-09,6,Gaz naturel,1697,68.22,115769.34
403,2023-04-20,6,Gaz naturel,4397,67.96,298820.12
404,2023-08-31,5,Condensats,840,93.86,78842.4
405,2024-01-26,3,Condensats,3361,82.51,277316.11
406,2024-08-08,6,Gaz naturel,4791,65.84,315439.44
407,2024-01-03,3,Condensats,1705,77.08,131421.4
408,2024-08-11,2,Gaz naturel,2074,66.46,137838.04
409,2023-10-30,4,Gaz naturel,3806,81.21,309085.26
410,2024-12-17,1,Condensats,2040,71.95,146778.0
411,2023-10-30,4,Brut,4084,66.85,273015.4
412,2023-01-23,4,Brut,4553,68.5,311880.5
413,2024-11-05,6,Gaz naturel,2426,83.63,202886.38
414,2024-02-10,3,Condensats,4019,74.28,298531.32
415,2023-10-09,3,Brut,1905,77.96,148513.8
416,2023-01-09,5,Gaz naturel,2513,88.75,223028.75
417,2024-08-02,1,Gaz naturel,947,82.94,78544.18
418,2024-12-03,3,Condensats,2220,76.18,169119.6
419,2023-02-20,5,Condensats,4367,93.39,407834.13
420,2024-09-12,1,Gaz naturel,4593,67.51,310073.43
421,2024-05-23,3,Brut,533,70.11,37368.63
422,2023-10-21,4,Condensats,996,91.9,91532.4
423,2023-08-24,4,Condensats,3411,89.86,306512.46
424,2024-09-13,1,Condensats,1903,64.55,122838.65
425,2023-12-27,1,Brut,3719,92.55,344193.45
426,2023-08-13,3,Brut,3210,60.36,193755.6
427,2024-10-13,3,Gaz naturel,2102,88.78,186615.56
428,2023-07-14,1,Condensats,4212,69.76,293829.12
429,2024-09-27,6,Brut,4102,66.6,273193.2
430,2023-09-14,1,Brut,4596,75.7,347917.2
431,2024-11-25,5,Condensats,2834,91.4,259027.6
432,2024-11-06,5,Brut,1779,87.51,155680.29
433,2024-11-28,5,Gaz naturel,3745,93.85,351468.25
434,2023-05-21,4,Brut,549,78.93,43332.57
435,2024-10-05,4,Brut,3164,77.87,246380.68
436,2023-04-10,5,Gaz naturel,2274,60.46,137486.04
437,2024-10-04,5,Condensats,4088,66.32,271116.16
438,2024-10-23,6,Brut,4546,77.42,351951.32
439,2023-02-10,1,Gaz naturel,565,86.34,48782.1
440,2023-11-13,4,Condensats,4723,88.79,419355.17
441,2024-03-27,5,Gaz naturel,3244,69.91,226788.04
442,2023-02-04,6,Brut,687,84.94,58353.78
443,2024-08-16,2,Gaz naturel,4539,89.0,403971.0
444,2024-01-09,3,Brut,3388,73.12,247730.56
445,2023-05-15,5,Condensats,1166,84.34,98340.44
446,2023-04-03,4,Condensats,1432,75.3,107829.6
447,2023-10-30,5,Gaz naturel,2470,94.5,233415.0
448,2023-12-01,2,Brut,4352,60.23,262120.96
449,2024-03-01,1,Condensats,4640,74.5,345680.0
450,2023-06-29,4,Gaz naturel,2676,69.23,185259.48
451,2023-07-25,1,Condensats,1117,89.74,100239.58
452,2023-05-16,3,Condensats,1292,70.05,90504.6
453,2024-07-06,6,Brut,1750,79.03,138302.5
454,2024-01-10,1,Condensats,4493,85.91,385993.63
455,2024-06-27,5,Condensats,2944,77.4,227865.6
456,2024-05-28,6,Brut,2822,74.36,209843.92
457,2023-10-07,2,Condensats,4733,61.49,291032.17
458,2023-06-18,1,Condensats,1850,60.8,112480.0
459,2023-09-21,2,Brut,3330,93.51,311388.3
460,2024-05-08,6,Brut,2775,82.51,228965.25
461,2023-10-30,4,Condensats,2706,88.88,240509.28
462,2023-12-13,4,Condensats,2417,76.82,185673.94
463,2023-04-28,5,Condensats,4334,69.16,299739.44
464,2024-04-24,5,Condensats,2577,70.31,181188.87
465,2023-03-19,5,Gaz naturel,1621,61.52,99723.92
466,2023-05-25,2,Condensats,1108,87.68,97149.44
467,2023-08-20,3,Brut,1268,80.35,101883.8
468,2024-11-23,3,Brut,1283,76.83,98572.89
469,2024-11-21,3,Brut,3429,89.83,308027.07
470,2024-02-11,4,Brut,2889,75.57,218321.73
471,2024-07-24,4,Condensats,667,93.18,62151.06
472,2024-01-10,3,Condensats,3756,60.46,227087.76
473,2023-04-03,6,Gaz naturel,2979,94.46,281396.34
474,2024-02-09,5,Condensats,4634,88.56,410387.04
475,2023-01-15,1,Brut,1479,72.42,107109.18
476,2023-09-28,6,Condensats,2934,80.84,237184.56
477,2024-07-03,6,Gaz naturel,4522,90.26,408155.72
478,2023-05-07,3,Condensats,3316,76.86,254867.76
479,2024-04-10,1,Condensats,1290,61.79,79709.1
480,2024-01-13,3,Brut,1974,91.63,180877.62
481,2024-11-19,1,Gaz naturel,3686,78.1,287876.6
482,2024-11-19,5,Condensats,4501,79.08,355939.08
483,2023-09-26,6,Condensats,2948,60.48,178295.04
484,2024-08-21,4,Gaz naturel,4174,63.5,265049.0
485,2024-01-26,3,Condensats,3880,87.21,338374.8
486,2024-10-15,3,Gaz naturel,1626,75.22,122307.72
487,2024-01-16,6,Gaz naturel,2250,94.93,213592.5
